CODGEO	REG	DEP	ARR	CV	ZE1990	EPCI	LIBGEO	PSDC99	PSDC90	SUPERF	NAIS9099	DEC9099	MENP99	LOG99	RS99	RNETFF06	NBFF06	NBFFI06	MEDRFUC06	EMPTOT99	EMPSA99	EMPTOT90	DEFMT07	ETTOT06	ETIND06	ETCOS06	ETCOM06	ETSER06	ETTEF106	ETTEFP1006
69244	82	69	691	6951	8211	246900245	Tassin-la-Demi-Lune	15977	15460	7.79	1868	1100	6682	7272	151	312565501	10395	7120	22293	5984	5332	5756	428	1113	53	70	226	764	451	113
69245	82	69	692	6906	8211	246900732	Ternand	625	588	10.75	59	39	234	291	37	8897675	351	201	17868	128	68	124	9	40	4	7	6	23	12	1
69246	82	69	692	6906	8211	246900732	Theizé	999	915	11.89	102	65	372	446	64	19516598	530	340	20214	245	145	284	12	56	7	10	9	30	17	5
69247	82	69	692	6909	8202	246900583	Thel	293	302	10.27	39	27	111	176	51	3367413	173	93	16779	102	70	136	7	17	4	5	2	6	9	1
69248	82	69	692	6930	8201	246900583	Thizy	2483	2855	1.94	260	356	1036	1304	42	23846876	1400	626	15334	1748	1573	1484	84	198	27	14	37	120	74	30
69249	82	69	691	6931	8211	246900724	Thurins	2451	2104	19.36	345	97	904	988	50	33050279	1378	831	18095	591	371	488	31	170	10	38	41	81	56	10
69250	82	69	691	6903	8211	246900245	La Tour-de-Salvagny	3402	3226	8.43	279	156	1292	1382	36	63433571	1715	1249	25723	959	837	616	53	249	14	27	45	163	83	30
69251	82	69	692	6923	8202	246900682	Trades	101	102	7.93	4	8	41	71	25	681207	52	25		12	0	32		4	0	1	0	3	3	0
69252	82	69	691	6907	8214	246900633	Trèves	558	471	7.56	70	39	196	208	7	7275522	312	203	18147	88	64	68	8	16	1	7	2	6	6	1
69253	82	69	691	6907	8214	246900633	Tupin-et-Semons	441	398	8.26	41	35	158	177	17	8333418	289	203	20935	106	88	84	9	24	2	4	5	13	12	1
69254	82	69	692	6929	8211	246900708	Valsonne	714	600	18.25	83	41	278	398	76	7501557	412	203	15203	214	182	140	19	35	8	11	4	12	9	4
69255	82	69	691	6931	8211	246900724	Vaugneray	4175	3553	22.38	402	432	1436	1596	107	63283035	2426	1484	20026	1326	1096	1124	79	271	27	55	46	143	103	24
69256	82	69	691	6946	8211	246900245	Vaulx-en-Velin	39154	44174	20.95	6886	2110	13213	15380	111	289657557	20636	7740	10686	18033	16827	16744	2282	2529	332	398	651	1148	1029	419
69257	82	69	692	6953	8202	246900674	Vaux-en-Beaujolais	766	669	17.74	97	40	283	350	35	9463329	460	246	15381	160	40	148	29	27	1	7	6	13	10	0
69258	82	69	692	6904	8202	246900781	Vauxrenard	275	226	19.19	44	18	109	183	55	2708310	134	68	13597	76	24	100		13	2	2	2	7	5	0
69259	82	69	691	6997	8211	246900245	Vénissieux	56061	60444	15.33	9078	3096	20686	22754	186	486637210	30891	13759	12454	26927	25673	30304	2610	2480	213	323	583	1361	895	404
69260	82	69	691	6948	8211	246900245	Vernaison	4000	4072	4.03	465	297	1371	1455	15	58594967	2200	1304	20320	1046	898	1096	98	200	14	33	33	120	68	19
69261	82	69	692	6904	8202	246900781	Vernay	127	51	5.59	6	3	22	26	3					56	44	68	0	7	0	0	1	6	2	1
69263	82	69	691	6927	8211	246900690	Villechenève	610	570	14.15	76	57	231	326	72	6591962	360	176	15305	202	142	152	8	33	3	4	8	18	8	2
69264	82	69	692	6932	8202	246900229	Villefranche-sur-Saône	30647	29542	9.48	4918	2371	12952	14376	220	327440019	19358	9379	13921	17304	15565	17148	1491	2645	219	154	749	1523	1176	307
69265	82	69	692	6906	8211	246900732	Ville-sur-Jarnioux	640	571	10.11	67	35	237	295	45	12017976	348	236	20847	68	36	92	6	27	2	6	5	14	7	1
69266	82	69	691	6998	8211	246900245	Villeurbanne	124215	116872	14.52	17452	8545	55136	63449	1140	1544991697	81345	44708	16188	50387	46008	54544	5304	7868	587	747	1802	4732	2905	810
69267	82	69	692	6904	8202	246900781	Villié-Morgon	1614	1522	18.74	183	148	641	809	103	19475014	912	479	15665	672	316	704	29	134	14	9	39	72	60	7
69268	82	69	691	6926	8211	246900757	Vourles	2743	1844	5.6	215	159	894	946	17	52615913	1375	1016	25140	836	700	684	56	210	28	26	38	118	76	29
69269	82	69	691	6931	8211	246900724	Yzeron	769	675	10.75	112	43	270	360	65	12157255	459	264	17462	156	108	152	12	48	1	10	11	26	12	2
69270	82	69	691	6938	8211	ZZZZZZZZZ	Chaponnay	3317	2913	18.89	278	162	1142	1202	20	58101253	1759	1256	23183	1657	1501	680	68	257	27	24	65	141	87	47
69271	82	69	691	6944	8211	246900245	Chassieu	9049	8508	11.57	808	301	3050	3149	25	145171314	4638	3294	22667	9533	9025	8584	186	928	164	84	268	412	361	221
69272	82	69	691	6938	8211	246900765	Communay	3883	2918	10.54	378	135	1280	1309	9	57288521	1805	1296	22307	746	642	396	58	140	11	27	29	73	43	10
